date	page	views	visitors	avg_time_sec
2023-01-01	home	3868	2962	57
2023-01-01	product_page	719	343	64
2023-01-01	blog_post	712	292	131
2023-01-01	pricing	262	128	52
2023-01-01	about	149	91	31
2023-01-01	contact	80	37	37
2023-01-01	faq	93	58	38
2023-01-01	category_gaming	391	256	68
2023-01-01	category_electronics	462	325	61
2023-01-01	landing_campaign	196	87	74
2023-01-02	home	4912	2264	87
2023-01-02	product_page	1192	1018	59
2023-01-02	blog_post	970	539	101
2023-01-02	pricing	612	301	77
2023-01-02	about	239	106	62
2023-01-02	contact	91	48	36
2023-01-02	faq	150	81	75
2023-01-02	category_gaming	538	430	62
2023-01-02	category_electronics	679	273	69
2023-01-02	landing_campaign	352	269	73
2023-01-03	home	4720	3924	55
2023-01-03	product_page	1002	432	76
2023-01-03	blog_post	720	550	102
2023-01-03	pricing	486	309	64
2023-01-03	about	227	177	50
2023-01-03	contact	132	85	65
2023-01-03	faq	98	40	72
2023-01-03	category_gaming	510	333	75
2023-01-03	category_electronics	731	442	65
2023-01-03	landing_campaign	285	124	71
2023-01-04	home	4745	4103	52
2023-01-04	product_page	1393	1164	77
2023-01-04	blog_post	795	672	127
2023-01-04	pricing	520	440	62
2023-01-04	about	193	99	55
2023-01-04	contact	128	106	55
2023-01-04	faq	162	98	56
2023-01-04	category_gaming	609	346	55
2023-01-04	category_electronics	737	485	66
2023-01-04	landing_campaign	278	246	81
2023-01-05	home	3845	2085	59
2023-01-05	product_page	1315	856	53
2023-01-05	blog_post	839	396	124
2023-01-05	pricing	454	236	59
2023-01-05	about	253	131	71
2023-01-05	contact	95	68	80
2023-01-05	faq	176	78	92
2023-01-05	category_gaming	600	295	73
2023-01-05	category_electronics	767	566	52
2023-01-05	landing_campaign	324	166	54
2023-01-06	home	4539	3383	67
2023-01-06	product_page	1416	663	57
2023-01-06	blog_post	762	657	115
2023-01-06	pricing	408	297	68
2023-01-06	about	223	148	79
2023-01-06	contact	102	86	56
2023-01-06	faq	168	95	71
2023-01-06	category_gaming	774	656	46
2023-01-06	category_electronics	784	565	65
2023-01-06	landing_campaign	334	135	72
2023-01-07	home	3758	1512	49
2023-01-07	product_page	886	660	41
2023-01-07	blog_post	473	357	129
2023-01-07	pricing	255	197	43
2023-01-07	about	164	119	66
2023-01-07	contact	62	36	62
2023-01-07	faq	93	82	47
2023-01-07	category_gaming	488	349	56
2023-01-07	category_electronics	504	346	81
2023-01-07	landing_campaign	170	129	59
2023-01-08	home	3021	2628	67
2023-01-08	product_page	847	748	71
2023-01-08	blog_post	502	414	97
2023-01-08	pricing	247	167	52
2023-01-08	about	147	100	65
2023-01-08	contact	74	66	47
2023-01-08	faq	108	90	42
2023-01-08	category_gaming	2440	1464	75
2023-01-08	category_electronics	399	321	45
2023-01-08	landing_campaign	225	192	63
2023-01-09	home	5817	4648	117
2023-01-09	product_page	1554	1239	74
2023-01-09	blog_post	823	483	131
2023-01-09	pricing	442	184	47
2023-01-09	about	290	157	31
2023-01-09	contact	101	42	61
2023-01-09	faq	150	69	76
2023-01-09	category_gaming	799	405	61
2023-01-09	category_electronics	673	286	63
2023-01-09	landing_campaign	440	316	87
2023-01-10	home	3759	2998	62
2023-01-10	product_page	1209	531	34
2023-01-10	blog_post	929	561	132
2023-01-10	pricing	410	215	55
2023-01-10	about	273	199	66
2023-01-10	contact	114	80	84
2023-01-10	faq	125	72	52
2023-01-10	category_gaming	624	280	88
2023-01-10	category_electronics	388	188	44
2023-01-10	landing_campaign	227	160	40
2023-01-11	home	5043	2961	61
2023-01-11	product_page	1307	1082	95
2023-01-11	blog_post	736	320	126
2023-01-11	pricing	418	289	60
2023-01-11	about	219	130	69
2023-01-11	contact	98	65	91
2023-01-11	faq	158	139	68
2023-01-11	category_gaming	600	335	63
2023-01-11	category_electronics	689	316	72
2023-01-11	landing_campaign	370	310	81
2023-01-12	home	6058	3277	69
2023-01-12	product_page	1403	1127	49
2023-01-12	blog_post	861	504	121
2023-01-12	pricing	388	335	77
2023-01-12	about	208	161	76
2023-01-12	contact	101	85	63
2023-01-12	faq	193	108	60
2023-01-12	category_gaming	624	252	72
2023-01-12	category_electronics	792	693	58
2023-01-12	landing_campaign	416	259	75
2023-01-13	home	4585	3375	41
2023-01-13	product_page	1445	1148	70
2023-01-13	blog_post	862	369	106
2023-01-13	pricing	296	249	86
2023-01-13	about	189	89	55
2023-01-13	contact	117	52	80
2023-01-13	faq	167	72	52
2023-01-13	category_gaming	702	309	73
2023-01-13	category_electronics	591	476	38
2023-01-13	landing_campaign	291	128	80
2023-01-14	home	3767	2305	82
2023-01-14	product_page	824	522	59
2023-01-14	blog_post	603	466	107
2023-01-14	pricing	309	181	61
2023-01-14	about	158	80	53
2023-01-14	contact	72	64	74
2023-01-14	faq	109	96	48
2023-01-14	category_gaming	579	433	66
2023-01-14	category_electronics	666	460	48
2023-01-14	landing_campaign	212	150	74
2023-01-15	home	3146	1987	51
2023-01-15	product_page	997	437	32
2023-01-15	blog_post	605	335	148
2023-01-15	pricing	312	150	74
2023-01-15	about	115	99	87
2023-01-15	contact	71	57	55
2023-01-15	faq	80	70	80
2023-01-15	category_gaming	449	284	64
2023-01-15	category_electronics	383	163	51
2023-01-15	landing_campaign	224	201	64
2023-01-16	home	5404	4239	60
2023-01-16	product_page	1235	573	36
2023-01-16	blog_post	879	452	127
2023-01-16	pricing	500	289	83
2023-01-16	about	226	149	48
2023-01-16	contact	109	90	83
2023-01-16	faq	212	177	86
2023-01-16	category_gaming	548	227	55
2023-01-16	category_electronics	829	623	80
2023-01-16	landing_campaign	302	122	54
2023-01-17	home	6257	3729	33
2023-01-17	product_page	1468	842	57
2023-01-17	blog_post	1058	632	121
2023-01-17	pricing	495	433	64
2023-01-17	about	160	100	59
2023-01-17	contact	107	60	66
2023-01-17	faq	130	56	70
2023-01-17	category_gaming	540	309	67
2023-01-17	category_electronics	748	548	74
2023-01-17	landing_campaign	302	126	52
2023-01-18	home	4970	2427	48
2023-01-18	product_page	1017	592	57
2023-01-18	blog_post	1118	469	120
2023-01-18	pricing	465	205	78
2023-01-18	about	212	170	56
2023-01-18	contact	96	48	68
2023-01-18	faq	155	109	25
2023-01-18	category_gaming	587	454	27
2023-01-18	category_electronics	821	538	64
2023-01-18	landing_campaign	276	172	61
2023-01-19	home	4098	2190	63
2023-01-19	product_page	1259	706	59
2023-01-19	blog_post	780	358	103
2023-01-19	pricing	446	329	73
2023-01-19	about	215	95	82
2023-01-19	contact	146	112	75
2023-01-19	faq	136	73	57
2023-01-19	category_gaming	783	536	40
2023-01-19	category_electronics	597	269	68
2023-01-19	landing_campaign	301	144	50
2023-01-20	home	4920	2394	47
2023-01-20	product_page	809	720	70
2023-01-20	blog_post	833	736	106
2023-01-20	pricing	447	236	64
2023-01-20	about	232	200	45
2023-01-20	contact	141	76	84
2023-01-20	faq	145	81	68
2023-01-20	category_gaming	675	351	18
2023-01-20	category_electronics	785	427	46
2023-01-20	landing_campaign	268	171	64
2023-01-21	home	3248	1845	60
2023-01-21	product_page	785	581	71
2023-01-21	blog_post	621	394	141
2023-01-21	pricing	211	182	44
2023-01-21	about	152	132	50
2023-01-21	contact	77	63	83
2023-01-21	faq	113	56	53
2023-01-21	category_gaming	411	331	55
2023-01-21	category_electronics	525	304	91
2023-01-21	landing_campaign	207	167	74
2023-01-22	home	2499	1577	44
2023-01-22	product_page	1000	651	47
2023-01-22	blog_post	604	357	116
2023-01-22	pricing	326	232	61
2023-01-22	about	112	52	77
2023-01-22	contact	77	51	78
2023-01-22	faq	110	52	63
2023-01-22	category_gaming	361	278	47
2023-01-22	category_electronics	509	397	52
2023-01-22	landing_campaign	204	165	72
2023-01-23	home	5181	4137	45
2023-01-23	product_page	1212	922	51
2023-01-23	blog_post	976	729	140
2023-01-23	pricing	326	186	64
2023-01-23	about	158	99	82
2023-01-23	contact	110	77	99
2023-01-23	faq	164	122	70
2023-01-23	category_gaming	669	318	66
